wl,orient_000,orient_010,orient_020,orient_030,orient_040,orient_050,orient_060,orient_070,orient_080,orient_090,orient_100,orient_110,orient_120,orient_130,orient_140,orient_150,orient_160,orient_170,orient_180
337,4.376978472,4.277174316,4.14365528,3.9889781,3.653082426,2.437485129,2.015433547,1.438434616,1.326282746,1.199320453,1.153595155,1.068407037,1.038112385,0.902647529,0.883135922,0.896086354,0.843665009,0.919017048,0.848491572
338,4.218116133,4.10785627,3.981677229,3.838015178,3.50258551,2.359702379,1.941950957,1.382743759,1.269472736,1.15216522,1.114667891,1.027222026,0.987313588,0.882060262,0.852119941,0.859554856,0.797461214,0.876946269,0.795371454
339,4.287442975,4.186595457,4.074055185,3.916730469,3.571658559,2.419469107,1.96195193,1.382380853,1.261829669,1.180495261,1.124203534,1.044180029,0.989346041,0.896896728,0.863797881,0.862257024,0.800259077,0.894322742,0.799833094
340,4.438997002,4.335624502,4.22077313,4.047673754,3.696166966,2.509142962,2.012527882,1.422551188,1.289278829,1.237971153,1.152993261,1.074010843,1.030546254,0.932644019,0.89370434,0.902396568,0.821394973,0.923708235,0.834075688
341,4.410413803,4.340230242,4.166927675,3.993522462,3.665263985,2.468952862,2.003532906,1.391830667,1.263063623,1.219485518,1.106501326,1.068111972,1.006962659,0.919208545,0.874470216,0.868226974,0.80512969,0.910103878,0.820949614
342,4.495807769,4.426054971,4.255643852,4.079224862,3.743115296,2.514800321,2.043192678,1.420580218,1.289305334,1.244299264,1.108222625,1.07329765,1.023318486,0.923329093,0.889731296,0.886437326,0.817332975,0.923955664,0.826298874
343,4.397176247,4.346501454,4.164252828,3.988020667,3.664692748,2.431694626,2.003248327,1.397460907,1.254190724,1.209492012,1.079636968,1.04481446,1.006084257,0.89289637,0.862538091,0.857483722,0.791002075,0.896825914,0.809439328
344,4.324201132,4.252011803,4.075040536,3.912706821,3.577243704,2.362037855,1.957321297,1.366711417,1.22447079,1.150129052,1.047260793,1.018426803,0.961130877,0.857937652,0.828569383,0.816666407,0.761932734,0.866089946,0.773074184
345,4.238071236,4.163822264,4.027547142,3.872262721,3.509755431,2.331556628,1.923655664,1.339051346,1.216010221,1.126607622,1.041275998,0.992890622,0.943835435,0.854494263,0.808363697,0.797352919,0.754436029,0.83531546,0.766034838
346,4.207131587,4.127134985,4.004032457,3.835572421,3.460422705,2.298218567,1.9028859,1.32215039,1.200294621,1.092517181,1.029915013,0.979854674,0.920763681,0.843793586,0.778755988,0.785366634,0.74570673,0.815362012,0.761262783
347,4.231836707,4.151671216,4.025693096,3.862663003,3.471356506,2.303116922,1.904368522,1.304603133,1.208910656,1.081075203,1.031264633,0.958334723,0.907971106,0.835735894,0.778186246,0.778596467,0.750016429,0.795094829,0.750866619
348,4.277521445,4.227362132,4.083997537,3.922864369,3.529906148,2.330952878,1.929333037,1.298917458,1.228768411,1.097998741,1.038939392,0.967479224,0.927061191,0.840192968,0.785250142,0.790684802,0.764267783,0.795348392,0.757060995
349,4.475685687,4.430602399,4.248677117,4.095046984,3.689588865,2.431517292,2.000418116,1.359793581,1.261711525,1.154887019,1.089188866,1.002222845,0.985361085,0.861554852,0.822972583,0.821807437,0.779554783,0.841918302,0.780489282
350,4.531750781,4.497471788,4.295839683,4.156399024,3.757534254,2.456963787,2.021622567,1.375936707,1.261987519,1.178149798,1.090415972,1.016866237,0.996553587,0.861072885,0.839606296,0.821571694,0.792932212,0.847059437,0.77573072
351,4.630208266,4.585089842,4.37601342,4.234498405,3.837503946,2.508217038,2.048528843,1.398187638,1.271659954,1.205003395,1.107552514,1.04514378,1.015698628,0.878005336,0.851011658,0.839328751,0.807242884,0.869400137,0.78164734
352,4.748096889,4.685490198,4.485276438,4.320422388,3.902821902,2.561689377,2.090570424,1.422856806,1.284633112,1.220365775,1.125180809,1.047685138,1.01975386,0.884471702,0.865548691,0.847731699,0.809236925,0.874083873,0.803972352
353,4.88349672,4.831941843,4.642660263,4.453986558,4.01489185,2.619239187,2.145459702,1.451341132,1.306291455,1.22585068,1.137704402,1.075576375,1.013544554,0.904763759,0.88002821,0.86448394,0.841646815,0.884902145,0.822937893
354,5.026881264,4.965920168,4.774373215,4.567949176,4.127057864,2.689532143,2.200037834,1.469405919,1.332298768,1.249846764,1.160120334,1.092040324,1.028306315,0.936229088,0.90112231,0.893862579,0.852379393,0.909774231,0.858535231
355,5.129367979,5.05877445,4.874236837,4.650709695,4.202192381,2.740324185,2.226938181,1.476785016,1.336882683,1.243560367,1.166786159,1.094979895,1.035242341,0.942042418,0.904294577,0.890026568,0.859018311,0.905834464,0.858671289
356,5.093254346,5.020785933,4.83919682,4.610070945,4.180136654,2.711618937,2.210056506,1.473328259,1.321014458,1.221758035,1.145040523,1.101099496,1.021163215,0.940863448,0.904071447,0.885230029,0.845593567,0.898343773,0.84242821
357,4.873458461,4.804934736,4.632514834,4.418775029,3.99666591,2.612857174,2.123125994,1.414045359,1.273596505,1.16882557,1.08553858,1.061145026,0.987731173,0.903927959,0.868326715,0.852307897,0.798614599,0.872201547,0.810203187
358,4.671481986,4.606418402,4.452557837,4.231685932,3.811825474,2.5025455,2.01375809,1.344924961,1.219905778,1.10326942,1.038003872,1.012215352,0.939275053,0.850790653,0.836562471,0.817064622,0.767201651,0.827503657,0.761674184
359,4.662071133,4.617809376,4.452360493,4.237933009,3.79463942,2.499095421,2.014949798,1.336570515,1.218961135,1.096753869,1.031282486,1.006283478,0.928235806,0.852612898,0.833742283,0.822015587,0.761018055,0.832721963,0.773372235
360,4.779720988,4.739307439,4.560064331,4.354366849,3.88641485,2.552847406,2.050643368,1.365646317,1.242034859,1.134169171,1.04547431,1.024236902,0.952977319,0.873914389,0.848929229,0.84726158,0.780972159,0.859457927,0.791857472
361,4.928585245,4.850359317,4.683538348,4.468721365,3.997686452,2.590981702,2.090946735,1.367225498,1.258898175,1.152858942,1.074226125,1.028036592,0.961279014,0.888107467,0.858276373,0.855202226,0.795719218,0.855410957,0.804335026
