wl,orient_000,orient_010,orient_020,orient_030,orient_040,orient_050,orient_060,orient_070,orient_080,orient_090,orient_100,orient_110,orient_120,orient_130,orient_140,orient_150,orient_160,orient_170,orient_180
540,0.190402503,0.124029122,0.20200135,0.141874266,0.167564407,0.104260721,0.183761866,0.125959078,0.216399285,0.194510553,0.132221425,0.206241377,0.144811751,0.14300457,0.120594423,0.194768203,0.115945063,0.129530809,0.182786641
541,0.190050932,0.123538008,0.201487109,0.141284042,0.167137329,0.103890892,0.183080669,0.125547647,0.216257769,0.19475195,0.132378651,0.205716851,0.144909723,0.142362303,0.120220504,0.194206642,0.115510089,0.129194756,0.182391427
542,0.189114877,0.122786002,0.200455147,0.140656891,0.166433128,0.103340243,0.182025553,0.124884803,0.215629848,0.193197174,0.131837834,0.20506425,0.143970028,0.14154506,0.119529156,0.193361403,0.114885891,0.128664543,0.181549993
543,0.188493442,0.12243992,0.199688816,0.140271648,0.165954565,0.103097107,0.181338211,0.124426085,0.214951525,0.19236331,0.13144352,0.204182592,0.143177081,0.141021503,0.119167523,0.192671254,0.114597044,0.128277961,0.18098363
544,0.189983802,0.123819207,0.201224896,0.141402993,0.167289095,0.104109675,0.182784831,0.12550253,0.216757968,0.194783478,0.132430502,0.205549394,0.144431053,0.142120031,0.120190326,0.194450123,0.115499371,0.12934363,0.182613451
545,0.191094951,0.124528767,0.202055035,0.142333103,0.168378778,0.104781874,0.183484201,0.12592672,0.217658971,0.19521685,0.132574694,0.206596136,0.145979765,0.142853526,0.120726032,0.195381533,0.115969704,0.129877151,0.183554283
546,0.192568702,0.125504132,0.203421667,0.143258097,0.169373127,0.10555295,0.184560737,0.126610738,0.219153003,0.196920076,0.134338961,0.207990101,0.147023259,0.143699334,0.121599753,0.196613239,0.11670458,0.130724472,0.185017983
547,0.193123178,0.125718155,0.20398987,0.143593701,0.169828566,0.105814416,0.184807036,0.126843278,0.219667801,0.197085641,0.134063598,0.208669668,0.146765575,0.144037162,0.122104585,0.197036505,0.116923716,0.131042743,0.185554982
548,0.193336995,0.125552472,0.204144753,0.143581801,0.169921603,0.105845419,0.184562515,0.126785776,0.219669836,0.198103734,0.134346113,0.209027649,0.147053437,0.143914748,0.122126671,0.196815165,0.117017203,0.131123641,0.185397557
549,0.195760597,0.12725584,0.206829213,0.145408509,0.171920268,0.107159454,0.186779642,0.128384328,0.222529686,0.200675809,0.136363326,0.211165797,0.148516679,0.145629935,0.123733192,0.199175522,0.11861916,0.133003261,0.187603631
550,0.196376156,0.127641571,0.207447707,0.145991768,0.17261136,0.107728433,0.187401528,0.128908275,0.223300742,0.200703679,0.136639687,0.211696661,0.149111603,0.146095704,0.124168047,0.199875226,0.118970891,0.133568321,0.188139441
551,0.195815622,0.127380913,0.206883643,0.145662779,0.171975644,0.107352079,0.186552224,0.128511747,0.22268474,0.199931935,0.136855978,0.211521316,0.149376034,0.145574008,0.12372658,0.19944724,0.118724803,0.133192135,0.187445157
552,0.196271102,0.1279143,0.207524352,0.146190843,0.172383363,0.10759384,0.186928451,0.128780008,0.223412257,0.200996524,0.137126752,0.212174839,0.14961466,0.145988398,0.124071502,0.200054977,0.118938938,0.1334576,0.188099484
553,0.196844152,0.128706615,0.208550239,0.146818366,0.17329701,0.108203786,0.187688615,0.129415288,0.224614239,0.201681035,0.137298096,0.213621244,0.150654733,0.146581688,0.124809673,0.201297259,0.119521473,0.134017742,0.189031493
554,0.19735296,0.129188727,0.209321507,0.14728652,0.17380107,0.108446573,0.188005559,0.129726132,0.224953013,0.20180002,0.137999638,0.214507937,0.15113225,0.146815916,0.125133753,0.20177785,0.119792885,0.134509449,0.189392793
