wl,wing,face
281.544,16.63,51.56032
281.919,7.67,49.73248
282.293,12.72,51.19584
282.668,8.01,49.02528
283.043,11.58,54.62848
283.417,8.99,49.41696
283.792,18.51,54.1008
284.167,12.4,51.98464
284.541,16.52,48.68256
284.916,11.28,53.30656
285.29,9.19,53.38272
285.665,16.43,55.83072
286.039,12.39,55.30848
286.413,7.54,55.7056
286.788,15.73,49.21024
287.162,15,53.21408
287.536,11.27,51.37536
287.91,7.91,53.07808
288.285,9.51,55.74912
288.659,10.09,59.19808
289.033,17.53,56.48896
289.407,16.77,61.76576
289.781,17.57,64.37152
290.155,15.07,65.88928
290.529,14.17,62.61984
290.903,19.45,66.86304
291.277,16.69,67.22752
291.651,17.18,74.43552
292.025,18.56,73.05376
292.398,17.98,72.25952
292.772,14.21,67.11872
293.146,2.22,73.6576
293.52,8.65,75.11552
293.893,10.36,77.69408
294.267,12.3,68.02176
294.641,13.91,75.60512
295.014,12.62,81.90464
295.388,2.01,79.42944
295.761,8.05,78.2272
296.135,11.48,82.80224
296.508,13.81,84.95648
296.881,17.94,82.13312
297.255,15.34,84.728
297.628,15.72,86.98016
298.001,12.48,82.8784
298.375,16.93,85.79968
298.748,15.76,90.3312
299.121,14,86.4416
299.494,14.55,86.07168
299.867,14.85,84.18944
300.24,12.9,90.15168
300.613,16.18,86.44704
300.986,14.93,86.68096
301.359,14.75,84.64096
301.732,18.16,83.91744
302.105,13.02,103.90944
302.478,13.83,92.95872
302.851,10.72,86.94208
303.224,8.44,86.62112
303.596,12.11,92.25152
303.969,11.75,99.13312
304.342,19.57,88.96032
304.714,22.29,89.93408
305.087,13.5,103.6592
305.46,25.39,94.792
305.832,14.51,91.87072
306.205,15.53,99.37792
306.577,17.78,94.3296
306.95,21.34,93.50816
307.322,17.93,92.12096
307.694,17.84,99.1168
308.067,23.51,94.9008
308.439,21.91,93.00768
308.811,16.04,93.4864
309.184,16.76,90.50528
309.556,14.66,101.15136
309.928,14.64,96.51104
310.3,14.14,92.99136
310.672,15.52,91.00032
311.044,14.21,95.23264
311.416,18.35,91.29408
311.788,22.75,91.34304
312.16,19.72,94.3024
312.532,17.11,104.5568
312.904,12.78,93.56256
313.276,20.12,95.94528
313.648,23.37,92.62144
314.019,17.74,94.4112
314.391,17.81,95.78208
314.763,17.38,97.12032
315.134,23.8,98.42048
315.506,16.26,95.35776
315.878,15.42,93.42656
316.249,19.43,94.3568
316.621,23.6,92.752
316.992,13.75,102.136
317.364,15.79,90.29312
317.735,20.04,97.53376
318.106,19.77,100.74336
318.478,17.83,97.19648
318.849,22.6,92.38752
319.22,22.11,97.69696
319.592,26.59,93.01856
319.963,20.03,103.61568
320.334,17.64,91.96864
320.705,17.43,96.55456
321.076,15.1,93.84544
321.447,19.61,88.96032
321.818,17.52,92.06112
322.189,16.87,93.15456
322.56,21.63,94.34592
322.931,20.43,94.94976
323.302,19.48,90.36384
323.673,24.17,90.04288
324.044,19.63,99.4704
324.414,11.39,102.55488
324.785,16.54,97.18016
325.156,21.47,95.34688
325.526,12.33,90.15712
325.897,21.52,85.04352
326.268,13.26,92.3984
326.638,18.9,93.70944
327.009,16.19,95.14016
327.379,14.1,86.8496
327.75,14.22,94.31872
328.12,12.11,93.69312
